model,n_runs,hit@1_mean,hit@1_ci_low,hit@1_ci_high,hit@3_mean,hit@3_ci_low,hit@3_ci_high,hit@5_mean,hit@5_ci_low,hit@5_ci_high,hit@10_mean,hit@10_ci_low,hit@10_ci_high,hit@20_mean,hit@20_ci_low,hit@20_ci_high,precision@1_mean,precision@1_ci_low,precision@1_ci_high,precision@3_mean,precision@3_ci_low,precision@3_ci_high,precision@5_mean,precision@5_ci_low,precision@5_ci_high,precision@10_mean,precision@10_ci_low,precision@10_ci_high,precision@20_mean,precision@20_ci_low,precision@20_ci_high,recall@1_mean,recall@1_ci_low,recall@1_ci_high,recall@3_mean,recall@3_ci_low,recall@3_ci_high,recall@5_mean,recall@5_ci_low,recall@5_ci_high,recall@10_mean,recall@10_ci_low,recall@10_ci_high,recall@20_mean,recall@20_ci_low,recall@20_ci_high,mrr_mean,mrr_ci_low,mrr_ci_high
harrier-0.6b,5,0.5396000000000001,0.5170167293455706,0.5621832706544295,0.7696,0.7449286643966103,0.7942713356033896,0.82,0.8047927838620836,0.8352072161379163,0.898,0.8870339204915358,0.9089660795084642,0.9432,0.9333289664463992,0.9530710335536009,0.5396000000000001,0.5170167293455706,0.5621832706544295,0.2565333333333333,0.24830955479887012,0.26475711186779644,0.16399999999999998,0.1609585567724167,0.16704144322758327,0.08980000000000002,0.0887033920491536,0.09089660795084643,0.04716,0.046666448322319955,0.047653551677680046,0.5396000000000001,0.5170167293455706,0.5621832706544295,0.7696,0.7449286643966103,0.7942713356033896,0.82,0.8047927838620836,0.8352072161379163,0.898,0.8870339204915358,0.9089660795084642,0.9432,0.9333289664463992,0.9530710335536009,0.6673470688582144,0.6489376580127846,0.6857564797036442
qwen3-embedding-0.6b,5,0.4708,0.4527552426696077,0.4888447573303923,0.6772,0.6527042633231365,0.7016957366768636,0.7524000000000001,0.7324250258930864,0.7723749741069137,0.8479999999999999,0.8367562542841052,0.8592437457158946,0.9144,0.9066657189089036,0.9221342810910964,0.4708,0.4527552426696077,0.4888447573303923,0.22573333333333334,0.2175680877743788,0.23389857889228788,0.15048,0.14648500517861726,0.15447499482138274,0.08480000000000001,0.08367562542841055,0.08592437457158948,0.04572,0.045333285945445174,0.04610671405455482,0.4708,0.4527552426696077,0.4888447573303923,0.6772,0.6527042633231365,0.7016957366768636,0.7524000000000001,0.7324250258930864,0.7723749741069137,0.8479999999999999,0.8367562542841052,0.8592437457158946,0.9144,0.9066657189089036,0.9221342810910964,0.5966098336252671,0.5826140583323838,0.6106056089181504
nomic-embed-v2-moe,5,0.4176,0.3871146833177408,0.44808531668225926,0.64,0.6107747004399067,0.6692252995600934,0.7208,0.6882977994170378,0.7533022005829622,0.8056000000000001,0.7711273284092636,0.8400726715907366,0.8708,0.8450164053381123,0.8965835946618878,0.4176,0.3871146833177408,0.44808531668225926,0.21333333333333332,0.2035915668133022,0.22307509985336443,0.14416,0.13765955988340758,0.15066044011659244,0.08056,0.07711273284092635,0.08400726715907367,0.04354,0.04225082026690562,0.04482917973309439,0.4176,0.3871146833177408,0.44808531668225926,0.64,0.6107747004399067,0.6692252995600934,0.7208,0.6882977994170378,0.7533022005829622,0.8056000000000001,0.7711273284092636,0.8400726715907366,0.8708,0.8450164053381123,0.8965835946618878,0.5516297180958016,0.5244714681246274,0.5787879680669759
nomic-embed-text-v1.5,5,0.3984,0.37781682088882196,0.418983179111178,0.604,0.5824221802700208,0.6255778197299792,0.6732000000000001,0.6486414052863136,0.6977585947136866,0.7612,0.7347668427472974,0.7876331572527026,0.8236000000000001,0.8004770290576194,0.8467229709423808,0.3984,0.37781682088882196,0.418983179111178,0.2013333333333333,0.1941407267566736,0.20852593990999302,0.13463999999999998,0.1297282810572627,0.13955171894273727,0.07612,0.07347668427472973,0.07876331572527026,0.04118000000000001,0.040023851452880975,0.04233614854711904,0.3984,0.37781682088882196,0.418983179111178,0.604,0.5824221802700208,0.6255778197299792,0.6732000000000001,0.6486414052863136,0.6977585947136866,0.7612,0.7347668427472974,0.7876331572527026,0.8236000000000001,0.8004770290576194,0.8467229709423808,0.5201705273742425,0.5024502214446102,0.5378908333038749
